央视频道,#genre#
CCTV-1,https://cntv.sbs/v6?auth=2307280808&id=022
CCTV-2,https://cntv.sbs/v6?auth=2307280808&id=220
CCTV-3,https://cntv.sbs/v6?auth=2307280808&id=186
CCTV-4,https://cntv.sbs/v6?auth=2307280808&id=221
CCTV-5,https://cntv.sbs/v6?auth=2307280808&id=187
CCTV-5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6,https://cntv.sbs/v6?auth=2307280808&id=188
CCTV-7,https://cntv.sbs/v6?auth=2307280808&id=236
CCTV-8,https://cntv.sbs/v6?auth=2307280808&id=189
CCTV-9,https://cntv.sbs/v6?auth=2307280808&id=237
CCTV-10,https://cntv.sbs/v6?auth=2307280808&id=238
CCTV-11,https://cntv.sbs/v6?auth=2307280808&id=309
CCTV-12,https://cntv.sbs/v6?auth=2307280808&id=239
CCTV-13,https://cntv.sbs/v6?auth=2307280808&id=328
CCTV-14,https://cntv.sbs/v6?auth=2307280808&id=240
CCTV-15,https://cntv.sbs/v6?auth=2307280808&id=338
CCTV-16,https://cntv.sbs/v6?auth=2307280808&id=258
CCTV-17,https://cntv.sbs/v6?auth=2307280808&id=241
CGTN英语,https://cntv.sbs/v6?auth=2307280808&id=058
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
央视高网,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8

香港频道,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8

卫视频道,#genre#
内蒙古卫视,https://cntv.sbs/v6?auth=2307280808&id=068
北京卫视,https://cntv.sbs/v6?auth=2307280808&id=029
湖南卫视,https://cntv.sbs/v6?auth=2307280808&id=026
东方卫视,https://cntv.sbs/v6?auth=2307280808&id=013
四川卫视,https://cntv.sbs/v6?auth=2307280808&id=130
天津卫视,https://cntv.sbs/v6?auth=2307280808&id=036
安徽卫视,https://cntv.sbs/v6?auth=2307280808&id=037
山东卫视,https://cntv.sbs/v6?auth=2307280808&id=028
广东卫视,https://cntv.sbs/v6?auth=2307280808&id=032
广西卫视,https://cntv.sbs/v6?auth=2307280808&id=224
江苏卫视,https://cntv.sbs/v6?auth=2307280808&id=033
江西卫视,https://cntv.sbs/v6?auth=2307280808&id=034
河北卫视,https://cntv.sbs/v6?auth=2307280808&id=229
河南卫视,https://cntv.sbs/v6?auth=2307280808&id=222
浙江卫视,https://cntv.sbs/v6?auth=2307280808&id=023
海南卫视,https://cntv.sbs/v6?auth=2307280808&id=183
深圳卫视,https://cntv.sbs/v6?auth=2307280808&id=030
湖北卫视,https://cntv.sbs/v6?auth=2307280808&id=027
